Be
   2.      9.00     1     0
  1.222959  1.222959
   501   0.020
   0.0015625  -0.1706747  -2.1907362
   0.0200000  -0.1687984  -2.1924342
   0.0400000  -0.1656158  -2.1958088
   0.0600000  -0.1619251  -2.2004474
   0.0800000  -0.1580347  -2.2062293
   0.1000000  -0.1541310  -2.2130777
   0.1200000  -0.1503417  -2.2209291
   0.1400000  -0.1467616  -2.2297252
   0.1600000  -0.1434655  -2.2394095
   0.1800000  -0.1405160  -2.2499265
   0.2000000  -0.1379680  -2.2612208
   0.2200000  -0.1358724  -2.2732367
   0.2400000  -0.1342770  -2.2859179
   0.2600000  -0.1332284  -2.2992067
   0.2800000  -0.1327721  -2.3130441
   0.3000000  -0.1329532  -2.3273689
   0.3200000  -0.1338160  -2.3421177
   0.3400000  -0.1354045  -2.3572239
   0.3600000  -0.1377616  -2.3726179
   0.3800000  -0.1409291  -2.3882265
   0.4000000  -0.1449474  -2.4039727
   0.4200000  -0.1498552  -2.4197755
   0.4400000  -0.1556894  -2.4355498
   0.4600000  -0.1624842  -2.4512066
   0.4800000  -0.1702714  -2.4666526
   0.5000000  -0.1790799  -2.4817905
   0.5200000  -0.1889354  -2.4965195
   0.5400000  -0.1998604  -2.5107352
   0.5600000  -0.2118736  -2.5243301
   0.5800000  -0.2249904  -2.5371942
   0.6000000  -0.2392219  -2.5492152
   0.6200000  -0.2545756  -2.5602796
   0.6400000  -0.2710545  -2.5702727
   0.6600000  -0.2886579  -2.5790800
   0.6800000  -0.3073804  -2.5865876
   0.7000000  -0.3272127  -2.5926834
   0.7200000  -0.3481409  -2.5972575
   0.7400000  -0.3701465  -2.6002038
   0.7600000  -0.3932068  -2.6014203
   0.7800000  -0.4172939  -2.6008106
   0.8000000  -0.4423754  -2.5982843
   0.8200000  -0.4684134  -2.5937584
   0.8400000  -0.4953644  -2.5871578
   0.8600000  -0.5231791  -2.5784162
   0.8800000  -0.5518016  -2.5674766
   0.9000000  -0.5811691  -2.5542920
   0.9200000  -0.6112112  -2.5388263
   0.9400000  -0.6418498  -2.5210539
   0.9600000  -0.6729983  -2.5009610
   0.9800000  -0.7045615  -2.4785457
   1.0000000  -0.7364360  -2.4538184
   1.0200000  -0.7685099  -2.4268025
   1.0400000  -0.8006636  -2.3975351
   1.0600000  -0.8327705  -2.3660671
   1.0800000  -0.8646981  -2.3324643
   1.1000000  -0.8963094  -2.2968075
   1.1200000  -0.9274639  -2.2591936
   1.1400000  -0.9580198  -2.2197355
   1.1600000  -0.9878351  -2.1785623
   1.1800000  -1.0167695  -2.1358190
   1.2000000  -1.0446865  -2.0916673
   1.2200000  -1.0714545  -2.0462832
   1.2400000  -1.0969483  -1.9998571
   1.2600000  -1.1210515  -1.9525926
   1.2800000  -1.1436567  -1.9047039
   1.3000000  -1.1646671  -1.8564142
   1.3200000  -1.1839986  -1.8079539
   1.3400000  -1.2015787  -1.7595568
   1.3600000  -1.2173490  -1.7114583
   1.3800000  -1.2312655  -1.6638914
   1.4000000  -1.2432973  -1.6170846
   1.4200000  -1.2534301  -1.5712573
   1.4400000  -1.2616624  -1.5266180
   1.4600000  -1.2680084  -1.4833606
   1.4800000  -1.2724964  -1.4416605
   1.5000000  -1.2751673  -1.4016754
   1.5200000  -1.2760769  -1.3635370
   1.5400000  -1.2752906  -1.3273581
   1.5600000  -1.2728876  -1.2932198
   1.5800000  -1.2689545  -1.2611837
   1.6000000  -1.2635886  -1.2312782
   1.6200000  -1.2568927  -1.2035122
   1.6400000  -1.2489772  -1.1778626
   1.6600000  -1.2399552  -1.1542888
   1.6800000  -1.2299439  -1.1327216
   1.7000000  -1.2190611  -1.1130782
   1.7200000  -1.2074246  -1.0952525
   1.7400000  -1.1951509  -1.0791293
   1.7600000  -1.1823528  -1.0645774
   1.7800000  -1.1691403  -1.0514605
   1.8000000  -1.1556160  -1.0396354
   1.8200000  -1.1418792  -1.0289568
   1.8400000  -1.1280189  -1.0192812
   1.8600000  -1.1141193  -1.0104666
   1.8800000  -1.1002547  -1.0023783
   1.9000000  -1.0864912  -0.9948885
   1.9200000  -1.0728879  -0.9878773
   1.9400000  -1.0594924  -0.9812390
   1.9600000  -1.0463480  -0.9748736
   1.9800000  -1.0334860  -0.9686994
   2.0000000  -1.0209330  -0.9626414
   2.0200000  -1.0087078  -0.9566390
   2.0400000  -0.9968216  -0.9506443
   2.0600000  -0.9852827  -0.9446155
   2.0800000  -0.9740909  -0.9385271
   2.1000000  -0.9632444  -0.9323575
   2.1200000  -0.9527367  -0.9260950
   2.1400000  -0.9425581  -0.9197362
   2.1600000  -0.9326975  -0.9132798
   2.1800000  -0.9231412  -0.9067327
   2.2000000  -0.9138748  -0.9001037
   2.2200000  -0.9048833  -0.8934041
   2.2400000  -0.8961512  -0.8866479
   2.2600000  -0.8876630  -0.8798496
   2.2800000  -0.8794038  -0.8730238
   2.3000000  -0.8713595  -0.8661857
   2.3200000  -0.8635158  -0.8593497
   2.3400000  -0.8558604  -0.8525290
   2.3600000  -0.8483813  -0.8457358
   2.3800000  -0.8410673  -0.8389819
   2.4000000  -0.8339089  -0.8322763
   2.4200000  -0.8268968  -0.8256277
   2.4400000  -0.8200227  -0.8190438
   2.4600000  -0.8132796  -0.8125298
   2.4800000  -0.8066610  -0.8060906
   2.5000000  -0.8001606  -0.7997304
   2.5200000  -0.7937737  -0.7934514
   2.5400000  -0.7874954  -0.7872556
   2.5600000  -0.7813214  -0.7811446
   2.5800000  -0.7752482  -0.7751188
   2.6000000  -0.7692723  -0.7691782
   2.6200000  -0.7633905  -0.7633227
   2.6400000  -0.7576001  -0.7575517
   2.6600000  -0.7518986  -0.7518642
   2.6800000  -0.7462834  -0.7462592
   2.7000000  -0.7407524  -0.7407355
   2.7200000  -0.7353034  -0.7352917
   2.7400000  -0.7299346  -0.7299265
   2.7600000  -0.7246439  -0.7246384
   2.7800000  -0.7194297  -0.7194260
   2.8000000  -0.7142901  -0.7142876
   2.8200000  -0.7092236  -0.7092220
   2.8400000  -0.7042286  -0.7042275
   2.8600000  -0.6993036  -0.6993029
   2.8800000  -0.6944470  -0.6944465
   2.9000000  -0.6896574  -0.6896571
   2.9200000  -0.6849335  -0.6849333
   2.9400000  -0.6802739  -0.6802738
   2.9600000  -0.6756773  -0.6756772
   2.9800000  -0.6711424  -0.6711423
   3.0000000  -0.6666680  -0.6666679
   3.0200000  -0.6622528  -0.6622528
   3.0400000  -0.6578958  -0.6578958
   3.0600000  -0.6535957  -0.6535957
   3.0800000  -0.6493515  -0.6493515
   3.1000000  -0.6451621  -0.6451621
   3.1200000  -0.6410263  -0.6410263
   3.1400000  -0.6369433  -0.6369433
   3.1600000  -0.6329120  -0.6329120
   3.1800000  -0.6289313  -0.6289313
   3.2000000  -0.6250005  -0.6250005
   3.2200000  -0.6211184  -0.6211184
   3.2400000  -0.6172843  -0.6172843
   3.2600000  -0.6134973  -0.6134973
   3.2800000  -0.6097564  -0.6097564
   3.3000000  -0.6060609  -0.6060609
   3.3200000  -0.6024099  -0.6024099
   3.3400000  -0.5988026  -0.5988026
   3.3600000  -0.5952383  -0.5952383
   3.3800000  -0.5917162  -0.5917162
   3.4000000  -0.5882355  -0.5882355
   3.4200000  -0.5847955  -0.5847955
   3.4400000  -0.5813955  -0.5813955
   3.4600000  -0.5780348  -0.5780348
   3.4800000  -0.5747127  -0.5747127
   3.5000000  -0.5714287  -0.5714287
   3.5200000  -0.5681819  -0.5681819
   3.5400000  -0.5649718  -0.5649718
   3.5600000  -0.5617978  -0.5617978
   3.5800000  -0.5586593  -0.5586593
   3.6000000  -0.5555556  -0.5555556
   3.6200000  -0.5524862  -0.5524862
   3.6400000  -0.5494506  -0.5494506
   3.6600000  -0.5464481  -0.5464481
   3.6800000  -0.5434783  -0.5434783
   3.7000000  -0.5405406  -0.5405406
   3.7200000  -0.5376344  -0.5376344
   3.7400000  -0.5347594  -0.5347594
   3.7600000  -0.5319149  -0.5319149
   3.7800000  -0.5291005  -0.5291005
   3.8000000  -0.5263158  -0.5263158
   3.8200000  -0.5235602  -0.5235602
   3.8400000  -0.5208333  -0.5208333
   3.8600000  -0.5181347  -0.5181347
   3.8800000  -0.5154639  -0.5154639
   3.9000000  -0.5128205  -0.5128205
   3.9200000  -0.5102041  -0.5102041
   3.9400000  -0.5076142  -0.5076142
   3.9600000  -0.5050505  -0.5050505
   3.9800000  -0.5025125  -0.5025125
   4.0000000  -0.5000000  -0.5000000
   4.0200000  -0.4975124  -0.4975124
   4.0400000  -0.4950495  -0.4950495
   4.0600000  -0.4926108  -0.4926108
   4.0800000  -0.4901961  -0.4901961
   4.1000000  -0.4878049  -0.4878049
   4.1200000  -0.4854369  -0.4854369
   4.1400000  -0.4830918  -0.4830918
   4.1600000  -0.4807692  -0.4807692
   4.1800000  -0.4784689  -0.4784689
   4.2000000  -0.4761904  -0.4761904
   4.2200000  -0.4739336  -0.4739336
   4.2400000  -0.4716981  -0.4716981
   4.2600000  -0.4694835  -0.4694835
   4.2800000  -0.4672897  -0.4672897
   4.3000000  -0.4651163  -0.4651163
   4.3200000  -0.4629629  -0.4629629
   4.3400000  -0.4608295  -0.4608295
   4.3600000  -0.4587156  -0.4587156
   4.3800000  -0.4566210  -0.4566210
   4.4000000  -0.4545454  -0.4545454
   4.4200000  -0.4524887  -0.4524887
   4.4400000  -0.4504504  -0.4504504
   4.4600000  -0.4484305  -0.4484305
   4.4800000  -0.4464285  -0.4464285
   4.5000000  -0.4444444  -0.4444444
   4.5200000  -0.4424779  -0.4424779
   4.5400000  -0.4405286  -0.4405286
   4.5600000  -0.4385965  -0.4385965
   4.5800000  -0.4366812  -0.4366812
   4.6000000  -0.4347826  -0.4347826
   4.6200000  -0.4329004  -0.4329004
   4.6400000  -0.4310345  -0.4310345
   4.6600000  -0.4291845  -0.4291845
   4.6800000  -0.4273504  -0.4273504
   4.7000000  -0.4255319  -0.4255319
   4.7200000  -0.4237288  -0.4237288
   4.7400000  -0.4219409  -0.4219409
   4.7600000  -0.4201681  -0.4201681
   4.7800000  -0.4184100  -0.4184100
   4.8000000  -0.4166667  -0.4166667
   4.8200000  -0.4149377  -0.4149377
   4.8400000  -0.4132231  -0.4132231
   4.8600000  -0.4115226  -0.4115226
   4.8800000  -0.4098361  -0.4098361
   4.9000000  -0.4081633  -0.4081633
   4.9200000  -0.4065041  -0.4065041
   4.9400000  -0.4048583  -0.4048583
   4.9600000  -0.4032258  -0.4032258
   4.9800000  -0.4016064  -0.4016064
   5.0000000  -0.4000000  -0.4000000
   5.0200000  -0.3984064  -0.3984064
   5.0400000  -0.3968254  -0.3968254
   5.0600000  -0.3952569  -0.3952569
   5.0800000  -0.3937008  -0.3937008
   5.1000000  -0.3921569  -0.3921569
   5.1200000  -0.3906250  -0.3906250
   5.1400000  -0.3891051  -0.3891051
   5.1600000  -0.3875969  -0.3875969
   5.1800000  -0.3861004  -0.3861004
   5.2000000  -0.3846154  -0.3846154
   5.2200000  -0.3831418  -0.3831418
   5.2400000  -0.3816794  -0.3816794
   5.2600000  -0.3802281  -0.3802281
   5.2800000  -0.3787879  -0.3787879
   5.3000000  -0.3773585  -0.3773585
   5.3200000  -0.3759398  -0.3759398
   5.3400000  -0.3745318  -0.3745318
   5.3600000  -0.3731343  -0.3731343
   5.3800000  -0.3717472  -0.3717472
   5.4000000  -0.3703704  -0.3703704
   5.4200000  -0.3690037  -0.3690037
   5.4400000  -0.3676471  -0.3676471
   5.4600000  -0.3663004  -0.3663004
   5.4800000  -0.3649635  -0.3649635
   5.5000000  -0.3636364  -0.3636364
   5.5200000  -0.3623188  -0.3623188
   5.5400000  -0.3610108  -0.3610108
   5.5600000  -0.3597122  -0.3597122
   5.5800000  -0.3584229  -0.3584229
   5.6000000  -0.3571429  -0.3571429
   5.6200000  -0.3558719  -0.3558719
   5.6400000  -0.3546099  -0.3546099
   5.6600000  -0.3533569  -0.3533569
   5.6800000  -0.3521127  -0.3521127
   5.7000000  -0.3508772  -0.3508772
   5.7200000  -0.3496504  -0.3496504
   5.7400000  -0.3484321  -0.3484321
   5.7600000  -0.3472222  -0.3472222
   5.7800000  -0.3460208  -0.3460208
   5.8000000  -0.3448276  -0.3448276
   5.8200000  -0.3436426  -0.3436426
   5.8400000  -0.3424658  -0.3424658
   5.8600000  -0.3412969  -0.3412969
   5.8800000  -0.3401361  -0.3401361
   5.9000000  -0.3389831  -0.3389831
   5.9200000  -0.3378378  -0.3378378
   5.9400000  -0.3367004  -0.3367004
   5.9600000  -0.3355705  -0.3355705
   5.9800000  -0.3344482  -0.3344482
   6.0000000  -0.3333333  -0.3333333
   6.0200000  -0.3322259  -0.3322259
   6.0400000  -0.3311258  -0.3311258
   6.0600000  -0.3300330  -0.3300330
   6.0800000  -0.3289474  -0.3289474
   6.1000000  -0.3278689  -0.3278689
   6.1200000  -0.3267974  -0.3267974
   6.1400000  -0.3257329  -0.3257329
   6.1600000  -0.3246753  -0.3246753
   6.1800000  -0.3236246  -0.3236246
   6.2000000  -0.3225807  -0.3225807
   6.2200000  -0.3215434  -0.3215434
   6.2400000  -0.3205128  -0.3205128
   6.2600000  -0.3194888  -0.3194888
   6.2800000  -0.3184714  -0.3184714
   6.3000000  -0.3174603  -0.3174603
   6.3200000  -0.3164557  -0.3164557
   6.3400000  -0.3154574  -0.3154574
   6.3600000  -0.3144654  -0.3144654
   6.3800000  -0.3134796  -0.3134796
   6.4000000  -0.3125000  -0.3125000
   6.4200000  -0.3115265  -0.3115265
   6.4400000  -0.3105590  -0.3105590
   6.4600000  -0.3095975  -0.3095975
   6.4800000  -0.3086420  -0.3086420
   6.5000000  -0.3076923  -0.3076923
   6.5200000  -0.3067485  -0.3067485
   6.5400000  -0.3058104  -0.3058104
   6.5600000  -0.3048781  -0.3048781
   6.5800000  -0.3039514  -0.3039514
   6.6000000  -0.3030303  -0.3030303
   6.6200000  -0.3021148  -0.3021148
   6.6400000  -0.3012048  -0.3012048
   6.6600000  -0.3003003  -0.3003003
   6.6800000  -0.2994012  -0.2994012
   6.7000000  -0.2985075  -0.2985075
   6.7200000  -0.2976191  -0.2976191
   6.7400000  -0.2967359  -0.2967359
   6.7600000  -0.2958580  -0.2958580
   6.7800000  -0.2949853  -0.2949853
   6.8000000  -0.2941177  -0.2941177
   6.8200000  -0.2932552  -0.2932552
   6.8400000  -0.2923977  -0.2923977
   6.8600000  -0.2915452  -0.2915452
   6.8800000  -0.2906977  -0.2906977
   6.9000000  -0.2898551  -0.2898551
   6.9200000  -0.2890174  -0.2890174
   6.9400000  -0.2881845  -0.2881845
   6.9600000  -0.2873564  -0.2873564
   6.9800000  -0.2865330  -0.2865330
   7.0000000  -0.2857143  -0.2857143
   7.0200000  -0.2849003  -0.2849003
   7.0400000  -0.2840909  -0.2840909
   7.0600000  -0.2832862  -0.2832862
   7.0800000  -0.2824859  -0.2824859
   7.1000000  -0.2816902  -0.2816902
   7.1200000  -0.2808989  -0.2808989
   7.1400000  -0.2801121  -0.2801121
   7.1600000  -0.2793296  -0.2793296
   7.1800000  -0.2785516  -0.2785516
   7.2000000  -0.2777778  -0.2777778
   7.2200000  -0.2770083  -0.2770083
   7.2400000  -0.2762431  -0.2762431
   7.2600000  -0.2754821  -0.2754821
   7.2800000  -0.2747253  -0.2747253
   7.3000000  -0.2739726  -0.2739726
   7.3200000  -0.2732241  -0.2732241
   7.3400000  -0.2724796  -0.2724796
   7.3600000  -0.2717392  -0.2717392
   7.3800000  -0.2710027  -0.2710027
   7.4000000  -0.2702703  -0.2702703
   7.4200000  -0.2695418  -0.2695418
   7.4400000  -0.2688172  -0.2688172
   7.4600000  -0.2680966  -0.2680966
   7.4800000  -0.2673797  -0.2673797
   7.5000000  -0.2666667  -0.2666667
   7.5200000  -0.2659575  -0.2659575
   7.5400000  -0.2652520  -0.2652520
   7.5600000  -0.2645503  -0.2645503
   7.5800000  -0.2638523  -0.2638523
   7.6000000  -0.2631579  -0.2631579
   7.6200000  -0.2624672  -0.2624672
   7.6400000  -0.2617801  -0.2617801
   7.6600000  -0.2610966  -0.2610966
   7.6800000  -0.2604167  -0.2604167
   7.7000000  -0.2597403  -0.2597403
   7.7200000  -0.2590674  -0.2590674
   7.7400000  -0.2583980  -0.2583980
   7.7600000  -0.2577320  -0.2577320
   7.7800000  -0.2570694  -0.2570694
   7.8000000  -0.2564103  -0.2564103
   7.8200000  -0.2557545  -0.2557545
   7.8400000  -0.2551021  -0.2551021
   7.8600000  -0.2544530  -0.2544530
   7.8800000  -0.2538071  -0.2538071
   7.9000000  -0.2531646  -0.2531646
   7.9200000  -0.2525253  -0.2525253
   7.9400000  -0.2518892  -0.2518892
   7.9600000  -0.2512563  -0.2512563
   7.9800000  -0.2506266  -0.2506266
   8.0000000  -0.2500000  -0.2500000
   8.0200000  -0.2493766  -0.2493766
   8.0400000  -0.2487563  -0.2487563
   8.0600000  -0.2481390  -0.2481390
   8.0800000  -0.2475248  -0.2475248
   8.1000000  -0.2469136  -0.2469136
   8.1200000  -0.2463055  -0.2463055
   8.1400000  -0.2457003  -0.2457003
   8.1600000  -0.2450981  -0.2450981
   8.1800000  -0.2444988  -0.2444988
   8.2000000  -0.2439025  -0.2439025
   8.2200000  -0.2433090  -0.2433090
   8.2400000  -0.2427185  -0.2427185
   8.2600000  -0.2421308  -0.2421308
   8.2800000  -0.2415459  -0.2415459
   8.3000000  -0.2409639  -0.2409639
   8.3200000  -0.2403847  -0.2403847
   8.3400000  -0.2398082  -0.2398082
   8.3600000  -0.2392345  -0.2392345
   8.3800000  -0.2386635  -0.2386635
   8.4000000  -0.2380953  -0.2380953
   8.4200000  -0.2375297  -0.2375297
   8.4400000  -0.2369669  -0.2369669
   8.4600000  -0.2364067  -0.2364067
   8.4800000  -0.2358491  -0.2358491
   8.5000000  -0.2352942  -0.2352942
   8.5200000  -0.2347418  -0.2347418
   8.5400000  -0.2341921  -0.2341921
   8.5600000  -0.2336449  -0.2336449
   8.5800000  -0.2331003  -0.2331003
   8.6000000  -0.2325582  -0.2325582
   8.6200000  -0.2320186  -0.2320186
   8.6400000  -0.2314815  -0.2314815
   8.6600000  -0.2309469  -0.2309469
   8.6800000  -0.2304148  -0.2304148
   8.7000000  -0.2298851  -0.2298851
   8.7200000  -0.2293578  -0.2293578
   8.7400000  -0.2288330  -0.2288330
   8.7600000  -0.2283105  -0.2283105
   8.7800000  -0.2277905  -0.2277905
   8.8000000  -0.2272728  -0.2272728
   8.8200000  -0.2267574  -0.2267574
   8.8400000  -0.2262444  -0.2262444
   8.8600000  -0.2257337  -0.2257337
   8.8800000  -0.2252253  -0.2252253
   8.9000000  -0.2247191  -0.2247191
   8.9200000  -0.2242153  -0.2242153
   8.9400000  -0.2237137  -0.2237137
   8.9600000  -0.2232143  -0.2232143
   8.9800000  -0.2227172  -0.2227172
   9.0000000  -0.2222223  -0.2222223
   9.0200000  -0.2217295  -0.2217295
   9.0400000  -0.2212390  -0.2212390
   9.0600000  -0.2207506  -0.2207506
   9.0800000  -0.2202644  -0.2202644
   9.1000000  -0.2197803  -0.2197803
   9.1200000  -0.2192983  -0.2192983
   9.1400000  -0.2188184  -0.2188184
   9.1600000  -0.2183406  -0.2183406
   9.1800000  -0.2178650  -0.2178650
   9.2000000  -0.2173913  -0.2173913
   9.2200000  -0.2169198  -0.2169198
   9.2400000  -0.2164503  -0.2164503
   9.2600000  -0.2159828  -0.2159828
   9.2800000  -0.2155173  -0.2155173
   9.3000000  -0.2150538  -0.2150538
   9.3200000  -0.2145923  -0.2145923
   9.3400000  -0.2141328  -0.2141328
   9.3600000  -0.2136752  -0.2136752
   9.3800000  -0.2132197  -0.2132197
   9.4000000  -0.2127660  -0.2127660
   9.4200000  -0.2123143  -0.2123143
   9.4400000  -0.2118644  -0.2118644
   9.4600000  -0.2114165  -0.2114165
   9.4800000  -0.2109705  -0.2109705
   9.5000000  -0.2105264  -0.2105264
   9.5200000  -0.2100841  -0.2100841
   9.5400000  -0.2096436  -0.2096436
   9.5600000  -0.2092051  -0.2092051
   9.5800000  -0.2087683  -0.2087683
   9.6000000  -0.2083334  -0.2083334
   9.6200000  -0.2079002  -0.2079002
   9.6400000  -0.2074689  -0.2074689
   9.6600000  -0.2070394  -0.2070394
   9.6800000  -0.2066116  -0.2066116
   9.7000000  -0.2061856  -0.2061856
   9.7200000  -0.2057614  -0.2057614
   9.7400000  -0.2053388  -0.2053388
   9.7600000  -0.2049181  -0.2049181
   9.7800000  -0.2044990  -0.2044990
   9.8000000  -0.2040817  -0.2040817
   9.8200000  -0.2036660  -0.2036660
   9.8400000  -0.2032521  -0.2032521
   9.8600000  -0.2028398  -0.2028398
   9.8800000  -0.2024292  -0.2024292
   9.9000000  -0.2020202  -0.2020202
   9.9200000  -0.2016129  -0.2016129
   9.9400000  -0.2012073  -0.2012073
   9.9600000  -0.2008032  -0.2008032
   9.9800000  -0.2004008  -0.2004008
  10.0000000  -0.2000000  -0.2000000
   0.0015625   0.0004610   0.0000000
   0.0200000   0.0059017   0.0000033
   0.0400000   0.0118067   0.0000133
   0.0600000   0.0177184   0.0000299
   0.0800000   0.0236401   0.0000532
   0.1000000   0.0295753   0.0000830
   0.1200000   0.0355274   0.0001194
   0.1400000   0.0414999   0.0001622
   0.1600000   0.0474964   0.0002115
   0.1800000   0.0535204   0.0002672
   0.2000000   0.0595755   0.0003292
   0.2200000   0.0656654   0.0003975
   0.2400000   0.0717937   0.0004718
   0.2600000   0.0779640   0.0005521
   0.2800000   0.0841800   0.0006384
   0.3000000   0.0904452   0.0007304
   0.3200000   0.0967633   0.0008281
   0.3400000   0.1031378   0.0009312
   0.3600000   0.1095722   0.0010397
   0.3800000   0.1160700   0.0011533
   0.4000000   0.1226345   0.0012720
   0.4200000   0.1292690   0.0013954
   0.4400000   0.1359766   0.0015233
   0.4600000   0.1427604   0.0016557
   0.4800000   0.1496233   0.0017922
   0.5000000   0.1565679   0.0019326
   0.5200000   0.1635968   0.0020767
   0.5400000   0.1707123   0.0022242
   0.5600000   0.1779163   0.0023748
   0.5800000   0.1852108   0.0025283
   0.6000000   0.1925973   0.0026844
   0.6200000   0.2000769   0.0028427
   0.6400000   0.2076506   0.0030031
   0.6600000   0.2153188   0.0031653
   0.6800000   0.2230817   0.0033288
   0.7000000   0.2309391   0.0034934
   0.7200000   0.2388902   0.0036588
   0.7400000   0.2469339   0.0038247
   0.7600000   0.2550685   0.0039907
   0.7800000   0.2632920   0.0041566
   0.8000000   0.2716015   0.0043221
   0.8200000   0.2799941   0.0044869
   0.8400000   0.2884658   0.0046506
   0.8600000   0.2970124   0.0048131
   0.8800000   0.3056289   0.0049740
   0.9000000   0.3143098   0.0051330
   0.9200000   0.3230489   0.0052899
   0.9400000   0.3318395   0.0054446
   0.9600000   0.3406742   0.0055967
   0.9800000   0.3495451   0.0057461
   1.0000000   0.3584435   0.0058926
   1.0200000   0.3673605   0.0060359
   1.0400000   0.3762862   0.0061761
   1.0600000   0.3852105   0.0063130
   1.0800000   0.3941227   0.0064463
   1.1000000   0.4030116   0.0065762
   1.1200000   0.4118658   0.0067025
   1.1400000   0.4206734   0.0068251
   1.1600000   0.4294224   0.0069442
   1.1800000   0.4381003   0.0070595
   1.2000000   0.4466948   0.0071713
   1.2200000   0.4551935   0.0072795
   1.2400000   0.4635837   0.0073843
   1.2600000   0.4718533   0.0074856
   1.2800000   0.4799900   0.0075836
   1.3000000   0.4879820   0.0076784
   1.3200000   0.4958178   0.0077701
   1.3400000   0.5034862   0.0078589
   1.3600000   0.5109766   0.0079449
   1.3800000   0.5182791   0.0080283
   1.4000000   0.5253842   0.0081092
   1.4200000   0.5322833   0.0081878
   1.4400000   0.5389683   0.0082643
   1.4600000   0.5454322   0.0083388
   1.4800000   0.5516686   0.0084116
   1.5000000   0.5576718   0.0084827
   1.5200000   0.5634374   0.0085523
   1.5400000   0.5689615   0.0086207
   1.5600000   0.5742411   0.0086879
   1.5800000   0.5792742   0.0087541
   1.6000000   0.5840596   0.0088194
   1.6200000   0.5885967   0.0088839
   1.6400000   0.5928859   0.0089478
   1.6600000   0.5969282   0.0090111
   1.6800000   0.6007255   0.0090740
   1.7000000   0.6042800   0.0091364
   1.7200000   0.6075947   0.0091986
   1.7400000   0.6106729   0.0092605
   1.7600000   0.6135188   0.0093221
   1.7800000   0.6161366   0.0093836
   1.8000000   0.6185309   0.0094449
   1.8200000   0.6207068   0.0095061
   1.8400000   0.6226694   0.0095672
