D
   1.      2.00     1     0
   .800000   .800000
   501    .020
    .0062500  -1.9893600  -1.3699598
    .0200000  -1.9926967  -1.3714944
    .0400000  -2.0002977  -1.3751569
    .0600000  -2.0104301  -1.3802579
    .0800000  -2.0227376  -1.3866933
    .1000000  -2.0369960  -1.3943997
    .1200000  -2.0530241  -1.4033192
    .1400000  -2.0706519  -1.4133885
    .1600000  -2.0897059  -1.4245337
    .1800000  -2.1100008  -1.4366679
    .2000000  -2.1313338  -1.4496895
    .2200000  -2.1534813  -1.4634815
    .2400000  -2.1761962  -1.4779106
    .2600000  -2.1992060  -1.4928271
    .2800000  -2.2222115  -1.5080648
    .3000000  -2.2448864  -1.5234418
    .3200000  -2.2668776  -1.5387604
    .3400000  -2.2878057  -1.5538088
    .3600000  -2.3072669  -1.5683623
    .3800000  -2.3248352  -1.5821856
    .4000000  -2.3400662  -1.5950344
    .4200000  -2.3525017  -1.6066591
    .4400000  -2.3616748  -1.6168082
    .4600000  -2.3671173  -1.6252315
    .4800000  -2.3683672  -1.6316852
    .5000000  -2.3649779  -1.6359364
    .5200000  -2.3565288  -1.6377681
    .5400000  -2.3426357  -1.6369847
    .5600000  -2.3229637  -1.6334175
    .5800000  -2.2972389  -1.6269296
    .6000000  -2.2652616  -1.6174217
    .6200000  -2.2269188  -1.6048358
    .6400000  -2.1821961  -1.5891602
    .6600000  -2.1311881  -1.5704320
    .6800000  -2.0741071  -1.5487389
    .7000000  -2.0112896  -1.5242204
    .7200000  -1.9431995  -1.4970668
    .7400000  -1.8704266  -1.4675167
    .7600000  -1.7936820  -1.4358531
    .7800000  -1.7137878  -1.4023981
    .8000000  -1.6316624  -1.3675050
    .8200000  -1.5483005  -1.3315506
    .8400000  -1.4647483  -1.2949253
    .8600000  -1.3820755  -1.2580224
    .8800000  -1.3013430  -1.2212282
    .9000000  -1.2235704  -1.1849107
    .9200000  -1.1497019  -1.1494101
    .9400000  -1.0805750  -1.1150297
    .9600000  -1.0168916  -1.0820284
    .9800000   -.9591952  -1.0506155
   1.0000000   -.9078542  -1.0209470
   1.0200000   -.8630532   -.9931244
   1.0400000   -.8247903   -.9671953
   1.0600000   -.7928861   -.9431567
   1.0800000   -.7670007   -.9209607
   1.1000000   -.7466570   -.9005205
   1.1200000   -.7312657   -.8817179
   1.1400000   -.7201584   -.8644112
   1.1600000   -.7126238   -.8484447
   1.1800000   -.7079371   -.8336558
   1.2000000   -.7053915   -.8198823
   1.2200000   -.7043276   -.8069696
   1.2400000   -.7041486   -.7947741
   1.2600000   -.7043402   -.7831681
   1.2800000   -.7044826   -.7720420
   1.3000000   -.7042419   -.7613036
   1.3200000   -.7033822   -.7508801
   1.3400000   -.7017508   -.7407158
   1.3600000   -.6992653   -.7307694
   1.3800000   -.6959132   -.7210141
   1.4000000   -.6917248   -.7114324
   1.4200000   -.6867707   -.7020160
   1.4400000   -.6811434   -.6927620
   1.4600000   -.6749495   -.6836714
   1.4800000   -.6682990   -.6747474
   1.5000000   -.6612999   -.6659941
   1.5200000   -.6540509   -.6574155
   1.5400000   -.6466414   -.6490148
   1.5600000   -.6391465   -.6407943
   1.5800000   -.6316293   -.6327547
   1.6000000   -.6241395   -.6248957
   1.6200000   -.6167161   -.6172158
   1.6400000   -.6093877   -.6097123
   1.6600000   -.6021748   -.6023820
   1.6800000   -.5950909   -.5952210
   1.7000000   -.5881448   -.5882249
   1.7200000   -.5813406   -.5813892
   1.7400000   -.5746802   -.5747091
   1.7600000   -.5681629   -.5681798
   1.7800000   -.5617870   -.5617967
   1.8000000   -.5555496   -.5555550
   1.8200000   -.5494473   -.5494503
   1.8400000   -.5434765   -.5434782
   1.8600000   -.5376335   -.5376344
   1.8800000   -.5319145   -.5319149
   1.9000000   -.5263156   -.5263158
   1.9200000   -.5208333   -.5208334
   1.9400000   -.5154639   -.5154640
   1.9600000   -.5102041   -.5102041
   1.9800000   -.5050505   -.5050505
   2.0000000   -.5000000   -.5000000
   2.0200000   -.4950495   -.4950495
   2.0400000   -.4901961   -.4901961
   2.0600000   -.4854369   -.4854369
   2.0800000   -.4807693   -.4807693
   2.1000000   -.4761905   -.4761905
   2.1200000   -.4716981   -.4716981
   2.1400000   -.4672897   -.4672897
   2.1600000   -.4629630   -.4629630
   2.1800000   -.4587156   -.4587156
   2.2000000   -.4545454   -.4545454
   2.2200000   -.4504504   -.4504504
   2.2400000   -.4464286   -.4464286
   2.2600000   -.4424779   -.4424779
   2.2800000   -.4385965   -.4385965
   2.3000000   -.4347826   -.4347826
   2.3200000   -.4310345   -.4310345
   2.3400000   -.4273504   -.4273504
   2.3600000   -.4237288   -.4237288
   2.3800000   -.4201680   -.4201680
   2.4000000   -.4166666   -.4166666
   2.4200000   -.4132231   -.4132231
   2.4400000   -.4098360   -.4098360
   2.4600000   -.4065040   -.4065040
   2.4800000   -.4032258   -.4032258
   2.5000000   -.4000000   -.4000000
   2.5200000   -.3968254   -.3968254
   2.5400000   -.3937008   -.3937008
   2.5600000   -.3906250   -.3906250
   2.5800000   -.3875969   -.3875969
   2.6000000   -.3846153   -.3846153
   2.6200000   -.3816793   -.3816793
   2.6400000   -.3787878   -.3787878
   2.6600000   -.3759398   -.3759398
   2.6800000   -.3731343   -.3731343
   2.7000000   -.3703703   -.3703703
   2.7200000   -.3676470   -.3676470
   2.7400000   -.3649635   -.3649635
   2.7600000   -.3623188   -.3623188
   2.7800000   -.3597122   -.3597122
   2.8000000   -.3571428   -.3571428
   2.8200000   -.3546099   -.3546099
   2.8400000   -.3521126   -.3521126
   2.8600000   -.3496503   -.3496503
   2.8800000   -.3472222   -.3472222
   2.9000000   -.3448275   -.3448275
   2.9200000   -.3424657   -.3424657
   2.9400000   -.3401360   -.3401360
   2.9600000   -.3378378   -.3378378
   2.9800000   -.3355704   -.3355704
   3.0000000   -.3333333   -.3333333
   3.0200000   -.3311258   -.3311258
   3.0400000   -.3289473   -.3289473
   3.0600000   -.3267974   -.3267974
   3.0800000   -.3246753   -.3246753
   3.1000000   -.3225806   -.3225806
   3.1200000   -.3205128   -.3205128
   3.1400000   -.3184713   -.3184713
   3.1600000   -.3164557   -.3164557
   3.1800000   -.3144654   -.3144654
   3.2000000   -.3125000   -.3125000
   3.2200000   -.3105590   -.3105590
   3.2400000   -.3086419   -.3086419
   3.2600000   -.3067484   -.3067484
   3.2800000   -.3048780   -.3048780
   3.3000000   -.3030303   -.3030303
   3.3200000   -.3012048   -.3012048
   3.3400000   -.2994012   -.2994012
   3.3600000   -.2976190   -.2976190
   3.3800000   -.2958580   -.2958580
   3.4000000   -.2941176   -.2941176
   3.4200000   -.2923976   -.2923976
   3.4400000   -.2906976   -.2906976
   3.4600000   -.2890173   -.2890173
   3.4800000   -.2873563   -.2873563
   3.5000000   -.2857143   -.2857143
   3.5200000   -.2840909   -.2840909
   3.5400000   -.2824859   -.2824859
   3.5600000   -.2808989   -.2808989
   3.5800000   -.2793296   -.2793296
   3.6000000   -.2777778   -.2777778
   3.6200000   -.2762431   -.2762431
   3.6400000   -.2747253   -.2747253
   3.6600000   -.2732240   -.2732240
   3.6800000   -.2717391   -.2717391
   3.7000000   -.2702703   -.2702703
   3.7200000   -.2688172   -.2688172
   3.7400000   -.2673797   -.2673797
   3.7600000   -.2659574   -.2659574
   3.7800000   -.2645503   -.2645503
   3.8000000   -.2631579   -.2631579
   3.8200000   -.2617801   -.2617801
   3.8400000   -.2604167   -.2604167
   3.8600000   -.2590673   -.2590673
   3.8800000   -.2577320   -.2577320
   3.9000000   -.2564103   -.2564103
   3.9200000   -.2551020   -.2551020
   3.9400000   -.2538071   -.2538071
   3.9600000   -.2525252   -.2525252
   3.9800000   -.2512563   -.2512563
   4.0000000   -.2500000   -.2500000
   4.0200000   -.2487562   -.2487562
   4.0400000   -.2475248   -.2475248
   4.0600000   -.2463054   -.2463054
   4.0800000   -.2450980   -.2450980
   4.1000000   -.2439024   -.2439024
   4.1200000   -.2427185   -.2427185
   4.1400000   -.2415459   -.2415459
   4.1600000   -.2403846   -.2403846
   4.1800000   -.2392345   -.2392345
   4.2000000   -.2380952   -.2380952
   4.2200000   -.2369668   -.2369668
   4.2400000   -.2358491   -.2358491
   4.2600000   -.2347418   -.2347418
   4.2800000   -.2336449   -.2336449
   4.3000000   -.2325581   -.2325581
   4.3200000   -.2314815   -.2314815
   4.3400000   -.2304148   -.2304148
   4.3600000   -.2293578   -.2293578
   4.3800000   -.2283105   -.2283105
   4.4000000   -.2272727   -.2272727
   4.4200000   -.2262444   -.2262444
   4.4400000   -.2252252   -.2252252
   4.4600000   -.2242153   -.2242153
   4.4800000   -.2232143   -.2232143
   4.5000000   -.2222222   -.2222222
   4.5200000   -.2212390   -.2212390
   4.5400000   -.2202643   -.2202643
   4.5600000   -.2192983   -.2192983
   4.5800000   -.2183406   -.2183406
   4.6000000   -.2173913   -.2173913
   4.6200000   -.2164502   -.2164502
   4.6400000   -.2155173   -.2155173
   4.6600000   -.2145923   -.2145923
   4.6800000   -.2136752   -.2136752
   4.7000000   -.2127660   -.2127660
   4.7200000   -.2118644   -.2118644
   4.7400000   -.2109705   -.2109705
   4.7600000   -.2100841   -.2100841
   4.7800000   -.2092050   -.2092050
   4.8000000   -.2083334   -.2083334
   4.8200000   -.2074689   -.2074689
   4.8400000   -.2066116   -.2066116
   4.8600000   -.2057613   -.2057613
   4.8800000   -.2049181   -.2049181
   4.9000000   -.2040817   -.2040817
   4.9200000   -.2032521   -.2032521
   4.9400000   -.2024292   -.2024292
   4.9600000   -.2016129   -.2016129
   4.9800000   -.2008032   -.2008032
   5.0000000   -.2000000   -.2000000
   5.0200000   -.1992032   -.1992032
   5.0400000   -.1984127   -.1984127
   5.0600000   -.1976285   -.1976285
   5.0800000   -.1968504   -.1968504
   5.1000000   -.1960785   -.1960785
   5.1200000   -.1953125   -.1953125
   5.1400000   -.1945526   -.1945526
   5.1600000   -.1937985   -.1937985
   5.1800000   -.1930502   -.1930502
   5.2000000   -.1923077   -.1923077
   5.2200000   -.1915709   -.1915709
   5.2400000   -.1908397   -.1908397
   5.2600000   -.1901141   -.1901141
   5.2800000   -.1893940   -.1893940
   5.3000000   -.1886793   -.1886793
   5.3200000   -.1879700   -.1879700
   5.3400000   -.1872660   -.1872660
   5.3600000   -.1865672   -.1865672
   5.3800000   -.1858736   -.1858736
   5.4000000   -.1851852   -.1851852
   5.4200000   -.1845019   -.1845019
   5.4400000   -.1838236   -.1838236
   5.4600000   -.1831502   -.1831502
   5.4800000   -.1824818   -.1824818
   5.5000000   -.1818182   -.1818182
   5.5200000   -.1811595   -.1811595
   5.5400000   -.1805055   -.1805055
   5.5600000   -.1798562   -.1798562
   5.5800000   -.1792115   -.1792115
   5.6000000   -.1785715   -.1785715
   5.6200000   -.1779360   -.1779360
   5.6400000   -.1773050   -.1773050
   5.6600000   -.1766785   -.1766785
   5.6800000   -.1760564   -.1760564
   5.7000000   -.1754386   -.1754386
   5.7200000   -.1748252   -.1748252
   5.7400000   -.1742161   -.1742161
   5.7600000   -.1736112   -.1736112
   5.7800000   -.1730104   -.1730104
   5.8000000   -.1724138   -.1724138
   5.8200000   -.1718213   -.1718213
   5.8400000   -.1712329   -.1712329
   5.8600000   -.1706485   -.1706485
   5.8800000   -.1700681   -.1700681
   5.9000000   -.1694916   -.1694916
   5.9200000   -.1689190   -.1689190
   5.9400000   -.1683502   -.1683502
   5.9600000   -.1677853   -.1677853
   5.9800000   -.1672241   -.1672241
   6.0000000   -.1666667   -.1666667
   6.0200000   -.1661130   -.1661130
   6.0400000   -.1655630   -.1655630
   6.0600000   -.1650165   -.1650165
   6.0800000   -.1644737   -.1644737
   6.1000000   -.1639345   -.1639345
   6.1200000   -.1633987   -.1633987
   6.1400000   -.1628665   -.1628665
   6.1600000   -.1623377   -.1623377
   6.1800000   -.1618123   -.1618123
   6.2000000   -.1612904   -.1612904
   6.2200000   -.1607718   -.1607718
   6.2400000   -.1602565   -.1602565
   6.2600000   -.1597445   -.1597445
   6.2800000   -.1592357   -.1592357
   6.3000000   -.1587302   -.1587302
   6.3200000   -.1582279   -.1582279
   6.3400000   -.1577288   -.1577288
