H
   1.      1.00     1     0
  0.420005  0.420005
   501   0.020
   0.0062500  -3.5507135  -2.5373088
   0.0200000  -3.5675849  -2.5458237
   0.0400000  -3.6072405  -2.5672508
   0.0600000  -3.6612363  -2.5982347
   0.0800000  -3.7271392  -2.6379204
   0.1000000  -3.8025540  -2.6852547
   0.1200000  -3.8846827  -2.7388314
   0.1400000  -3.9701476  -2.7968365
   0.1600000  -4.0549135  -2.8570307
   0.1800000  -4.1342785  -2.9167625
   0.2000000  -4.2029401  -2.9730178
   0.2200000  -4.2551445  -3.0225105
   0.2400000  -4.2849327  -3.0618199
   0.2600000  -4.2864867  -3.0875762
   0.2800000  -4.2545719  -3.0966873
   0.3000000  -4.1850520  -3.0865942
   0.3200000  -4.0754370  -3.0555332
   0.3400000  -3.9253998  -3.0027743
   0.3600000  -3.7371821  -2.9287990
   0.3800000  -3.5157974  -2.8353827
   0.4000000  -3.2689500  -2.7255496
   0.4200000  -3.0066066  -2.6033842
   0.4400000  -2.7402174  -2.4737050
   0.4600000  -2.4816415  -2.3416294
   0.4800000  -2.2419119  -2.2120853
   0.5000000  -2.0300276  -2.0893417
   0.5200000  -1.8519804  -1.9766268
   0.5400000  -1.7102260  -1.8759080
   0.5600000  -1.6036733  -1.7878495
   0.5800000  -1.5282229  -1.7119601
   0.6000000  -1.4777050  -1.6468776
   0.6200000  -1.4450290  -1.5907329
   0.6400000  -1.4232910  -1.5415101
   0.6600000  -1.4066379  -1.4973450
   0.6800000  -1.3907679  -1.4567164
   0.7000000  -1.3730542  -1.4185270
   0.7200000  -1.3523458  -1.3820854
   0.7400000  -1.3285842  -1.3470256
   0.7600000  -1.3023686  -1.3132033
   0.7800000  -1.2745714  -1.2805966
   0.8000000  -1.2460627  -1.2492304
   0.8200000  -1.2175574  -1.2191298
   0.8400000  -1.1895624  -1.1902982
   0.8600000  -1.1623896  -1.1627136
   0.8800000  -1.1361989  -1.1363330
   0.9000000  -1.1110484  -1.1111004
   0.9200000  -1.0869349  -1.0869538
   0.9400000  -1.0638235  -1.0638300
   0.9600000  -1.0416658  -1.0416678
   0.9800000  -1.0204089  -1.0204096
   1.0000000  -1.0000012  -1.0000014
   1.0200000  -0.9803935  -0.9803935
   1.0400000  -0.9615397  -0.9615397
   1.0600000  -0.9433974  -0.9433974
   1.0800000  -0.9259271  -0.9259271
   1.1000000  -0.9090920  -0.9090920
   1.1200000  -0.8928581  -0.8928581
   1.1400000  -0.8771939  -0.8771939
   1.1600000  -0.8620699  -0.8620699
   1.1800000  -0.8474585  -0.8474585
   1.2000000  -0.8333341  -0.8333341
   1.2200000  -0.8196729  -0.8196729
   1.2400000  -0.8064523  -0.8064523
   1.2600000  -0.7936514  -0.7936514
   1.2800000  -0.7812506  -0.7812506
   1.3000000  -0.7692313  -0.7692313
   1.3200000  -0.7575763  -0.7575763
   1.3400000  -0.7462692  -0.7462692
   1.3600000  -0.7352946  -0.7352946
   1.3800000  -0.7246381  -0.7246381
   1.4000000  -0.7142861  -0.7142861
   1.4200000  -0.7042257  -0.7042257
   1.4400000  -0.6944448  -0.6944448
   1.4600000  -0.6849318  -0.6849318
   1.4800000  -0.6756760  -0.6756760
   1.5000000  -0.6666670  -0.6666670
   1.5200000  -0.6578950  -0.6578950
   1.5400000  -0.6493509  -0.6493509
   1.5600000  -0.6410259  -0.6410259
   1.5800000  -0.6329116  -0.6329116
   1.6000000  -0.6250002  -0.6250002
   1.6200000  -0.6172842  -0.6172842
   1.6400000  -0.6097563  -0.6097563
   1.6600000  -0.6024098  -0.6024098
   1.6800000  -0.5952383  -0.5952383
   1.7000000  -0.5882354  -0.5882354
   1.7200000  -0.5813955  -0.5813955
   1.7400000  -0.5747128  -0.5747128
   1.7600000  -0.5681819  -0.5681819
   1.7800000  -0.5617979  -0.5617979
   1.8000000  -0.5555557  -0.5555557
   1.8200000  -0.5494506  -0.5494506
   1.8400000  -0.5434783  -0.5434783
   1.8600000  -0.5376345  -0.5376345
   1.8800000  -0.5319150  -0.5319150
   1.9000000  -0.5263158  -0.5263158
   1.9200000  -0.5208334  -0.5208334
   1.9400000  -0.5154640  -0.5154640
   1.9600000  -0.5102041  -0.5102041
   1.9800000  -0.5050505  -0.5050505
   2.0000000  -0.5000000  -0.5000000
   2.0200000  -0.4950495  -0.4950495
   2.0400000  -0.4901961  -0.4901961
   2.0600000  -0.4854369  -0.4854369
   2.0800000  -0.4807692  -0.4807692
   2.1000000  -0.4761905  -0.4761905
   2.1200000  -0.4716981  -0.4716981
   2.1400000  -0.4672897  -0.4672897
   2.1600000  -0.4629630  -0.4629630
   2.1800000  -0.4587156  -0.4587156
   2.2000000  -0.4545454  -0.4545454
   2.2200000  -0.4504504  -0.4504504
   2.2400000  -0.4464286  -0.4464286
   2.2600000  -0.4424779  -0.4424779
   2.2800000  -0.4385965  -0.4385965
   2.3000000  -0.4347826  -0.4347826
   2.3200000  -0.4310345  -0.4310345
   2.3400000  -0.4273504  -0.4273504
   2.3600000  -0.4237288  -0.4237288
   2.3800000  -0.4201680  -0.4201680
   2.4000000  -0.4166666  -0.4166666
   2.4200000  -0.4132231  -0.4132231
   2.4400000  -0.4098360  -0.4098360
   2.4600000  -0.4065040  -0.4065040
   2.4800000  -0.4032258  -0.4032258
   2.5000000  -0.4000000  -0.4000000
   2.5200000  -0.3968254  -0.3968254
   2.5400000  -0.3937007  -0.3937007
   2.5600000  -0.3906250  -0.3906250
   2.5800000  -0.3875969  -0.3875969
   2.6000000  -0.3846153  -0.3846153
   2.6200000  -0.3816793  -0.3816793
   2.6400000  -0.3787878  -0.3787878
   2.6600000  -0.3759398  -0.3759398
   2.6800000  -0.3731343  -0.3731343
   2.7000000  -0.3703703  -0.3703703
   2.7200000  -0.3676470  -0.3676470
   2.7400000  -0.3649635  -0.3649635
   2.7600000  -0.3623188  -0.3623188
   2.7800000  -0.3597122  -0.3597122
   2.8000000  -0.3571428  -0.3571428
   2.8200000  -0.3546099  -0.3546099
   2.8400000  -0.3521126  -0.3521126
   2.8600000  -0.3496503  -0.3496503
   2.8800000  -0.3472222  -0.3472222
   2.9000000  -0.3448275  -0.3448275
   2.9200000  -0.3424657  -0.3424657
   2.9400000  -0.3401360  -0.3401360
   2.9600000  -0.3378378  -0.3378378
   2.9800000  -0.3355704  -0.3355704
   3.0000000  -0.3333333  -0.3333333
   3.0200000  -0.3311258  -0.3311258
   3.0400000  -0.3289473  -0.3289473
   3.0600000  -0.3267973  -0.3267973
   3.0800000  -0.3246753  -0.3246753
