He
   2.      4.00     1     0
   .225951   .225951
   501    .020
    .0031250 -13.3062976  -9.5615389
    .0200000 -13.4923853  -9.6567511
    .0400000 -13.8858145  -9.8806080
    .0600000 -14.4072889 -10.2023892
    .0800000 -14.9870623 -10.5869872
    .1000000 -15.5290579 -10.9815847
    .1200000 -15.9101958 -11.3171074
    .1400000 -15.9920092 -11.5154056
    .1600000 -15.6464871 -11.5030350
    .1800000 -14.7946753 -11.2302768
    .2000000 -13.4484732 -10.6902713
    .2200000 -11.7366258  -9.9297631
    .2400000  -9.8923223  -9.0429970
    .2600000  -8.1913896  -8.1463390
    .2800000  -6.8583258  -7.3418922
    .3000000  -5.9864914  -6.6871319
    .3200000  -5.5202828  -6.1861194
    .3400000  -5.3094040  -5.8048311
    .3600000  -5.1959529  -5.4981228
    .3800000  -5.0778952  -5.2310585
    .4000000  -4.9211043  -4.9857367
    .4200000  -4.7341738  -4.7567902
    .4400000  -4.5374622  -4.5439777
    .4600000  -4.3459605  -4.3474915
    .4800000  -4.1663249  -4.1666156
    .5000000  -3.9999595  -4.0000036
    .5200000  -3.8461593  -3.8461645
    .5400000  -3.7037136  -3.7037141
    .5600000  -3.5714377  -3.5714377
    .5800000  -3.4482840  -3.4482840
    .6000000  -3.3333404  -3.3333404
    .6200000  -3.2258128  -3.2258128
    .6400000  -3.1250056  -3.1250056
    .6600000  -3.0303079  -3.0303079
    .6800000  -2.9411807  -2.9411807
    .7000000  -2.8571466  -2.8571466
    .7200000  -2.7777811  -2.7777811
    .7400000  -2.7027057  -2.7027057
    .7600000  -2.6315815  -2.6315815
    .7800000  -2.5641048  -2.5641048
    .8000000  -2.5000020  -2.5000020
    .8200000  -2.4390261  -2.4390261
    .8400000  -2.3809539  -2.3809539
    .8600000  -2.3255827  -2.3255827
    .8800000  -2.2727284  -2.2727284
    .9000000  -2.2222232  -2.2222232
    .9200000  -2.1739139  -2.1739139
    .9400000  -2.1276603  -2.1276603
    .9600000  -2.0833339  -2.0833339
    .9800000  -2.0408168  -2.0408168
   1.0000000  -2.0000004  -2.0000004
   1.0200000  -1.9607846  -1.9607846
   1.0400000  -1.9230772  -1.9230772
   1.0600000  -1.8867926  -1.8867926
   1.0800000  -1.8518520  -1.8518520
   1.1000000  -1.8181819  -1.8181819
   1.1200000  -1.7857143  -1.7857143
   1.1400000  -1.7543860  -1.7543860
   1.1600000  -1.7241379  -1.7241379
   1.1800000  -1.6949152  -1.6949152
   1.2000000  -1.6666666  -1.6666666
   1.2200000  -1.6393441  -1.6393441
   1.2400000  -1.6129031  -1.6129031
   1.2600000  -1.5873014  -1.5873014
   1.2800000  -1.5624998  -1.5624998
   1.3000000  -1.5384614  -1.5384614
   1.3200000  -1.5151513  -1.5151513
   1.3400000  -1.4925371  -1.4925371
   1.3600000  -1.4705880  -1.4705880
   1.3800000  -1.4492751  -1.4492751
   1.4000000  -1.4285712  -1.4285712
   1.4200000  -1.4084505  -1.4084505
   1.4400000  -1.3888887  -1.3888887
   1.4600000  -1.3698628  -1.3698628
   1.4800000  -1.3513511  -1.3513511
   1.5000000  -1.3333331  -1.3333331
   1.5200000  -1.3157892  -1.3157892
   1.5400000  -1.2987011  -1.2987011
   1.5600000  -1.2820511  -1.2820511
   1.5800000  -1.2658226  -1.2658226
   1.6000000  -1.2499998  -1.2499998
   1.6200000  -1.2345677  -1.2345677
   1.6400000  -1.2195120  -1.2195120
   1.6600000  -1.2048191  -1.2048191
   1.6800000  -1.1904760  -1.1904760
   1.7000000  -1.1764704  -1.1764704
   1.7200000  -1.1627905  -1.1627905
   1.7400000  -1.1494251  -1.1494251
   1.7600000  -1.1363635  -1.1363635
   1.7800000  -1.1235954  -1.1235954
   1.8000000  -1.1111109  -1.1111109
   1.8200000  -1.0989010  -1.0989010
   1.8400000  -1.0869564  -1.0869564
   1.8600000  -1.0752687  -1.0752687
   1.8800000  -1.0638297  -1.0638297
   1.9000000  -1.0526315  -1.0526315
   1.9200000  -1.0416666  -1.0416666
   1.9400000  -1.0309277  -1.0309277
   1.9600000  -1.0204081  -1.0204081
   1.9800000  -1.0101009  -1.0101009
   2.0000000   -.9999999   -.9999999
   2.0200000   -.9900989   -.9900989
   2.0400000   -.9803921   -.9803921
   2.0600000   -.9708737   -.9708737
   2.0800000   -.9615384   -.9615384
   2.1000000   -.9523809   -.9523809
   2.1200000   -.9433962   -.9433962
   2.1400000   -.9345794   -.9345794
   2.1600000   -.9259259   -.9259259
   2.1800000   -.9174312   -.9174312
   2.2000000   -.9090909   -.9090909
   2.2200000   -.9009009   -.9009009
   2.2400000   -.8928571   -.8928571
   2.2600000   -.8849558   -.8849558
   2.2800000   -.8771930   -.8771930
   2.3000000   -.8695652   -.8695652
   2.3200000   -.8620690   -.8620690
   2.3400000   -.8547009   -.8547009
   2.3600000   -.8474577   -.8474577
   2.3800000   -.8403362   -.8403362
   2.4000000   -.8333334   -.8333334
   2.4200000   -.8264463   -.8264463
   2.4400000   -.8196722   -.8196722
   2.4600000   -.8130082   -.8130082
   2.4800000   -.8064517   -.8064517
   2.5000000   -.8000001   -.8000001
   2.5200000   -.7936509   -.7936509
   2.5400000   -.7874017   -.7874017
   2.5600000   -.7812501   -.7812501
   2.5800000   -.7751939   -.7751939
   2.6000000   -.7692309   -.7692309
   2.6200000   -.7633589   -.7633589
   2.6400000   -.7575759   -.7575759
   2.6600000   -.7518798   -.7518798
   2.6800000   -.7462688   -.7462688
   2.7000000   -.7407409   -.7407409
   2.7200000   -.7352942   -.7352942
   2.7400000   -.7299271   -.7299271
   2.7600000   -.7246378   -.7246378
   2.7800000   -.7194246   -.7194246
   2.8000000   -.7142859   -.7142859
   2.8200000   -.7092200   -.7092200
   2.8400000   -.7042255   -.7042255
   2.8600000   -.6993009   -.6993009
   2.8800000   -.6944446   -.6944446
   2.9000000   -.6896553   -.6896553
   2.9200000   -.6849317   -.6849317
   2.9400000   -.6802723   -.6802723
   2.9600000   -.6756759   -.6756759
   2.9800000   -.6711411   -.6711411
   3.0000000   -.6666668   -.6666668
   3.0200000   -.6622518   -.6622518
   3.0400000   -.6578949   -.6578949
   3.0600000   -.6535950   -.6535950
   3.0800000   -.6493508   -.6493508
   3.1000000   -.6451615   -.6451615
   3.1200000   -.6410258   -.6410258
   3.1400000   -.6369429   -.6369429
   3.1600000   -.6329116   -.6329116
   3.1800000   -.6289310   -.6289310
   3.2000000   -.6250002   -.6250002
   3.2200000   -.6211182   -.6211182
   3.2400000   -.6172842   -.6172842
   3.2600000   -.6134971   -.6134971
   3.2800000   -.6097563   -.6097563
   3.3000000   -.6060608   -.6060608
   3.3200000   -.6024099   -.6024099
   3.3400000   -.5988026   -.5988026
   3.3600000   -.5952383   -.5952383
   3.3800000   -.5917162   -.5917162
   3.4000000   -.5882355   -.5882355
   3.4200000   -.5847955   -.5847955
   3.4400000   -.5813956   -.5813956
   3.4600000   -.5780349   -.5780349
   3.4800000   -.5747129   -.5747129
   3.5000000   -.5714288   -.5714288
   3.5200000   -.5681821   -.5681821
   3.5400000   -.5649720   -.5649720
   3.5600000   -.5617980   -.5617980
   3.5800000   -.5586594   -.5586594
   3.6000000   -.5555558   -.5555558
   3.6200000   -.5524864   -.5524864
   3.6400000   -.5494508   -.5494508
   3.6600000   -.5464483   -.5464483
   3.6800000   -.5434785   -.5434785
   3.7000000   -.5405408   -.5405408
   3.7200000   -.5376346   -.5376346
   3.7400000   -.5347596   -.5347596
   3.7600000   -.5319151   -.5319151
   3.7800000   -.5291008   -.5291008
   3.8000000   -.5263160   -.5263160
   3.8200000   -.5235604   -.5235604
   3.8400000   -.5208336   -.5208336
   3.8600000   -.5181350   -.5181350
   3.8800000   -.5154642   -.5154642
   3.9000000   -.5128208   -.5128208
   3.9200000   -.5102043   -.5102043
   3.9400000   -.5076144   -.5076144
   3.9600000   -.5050507   -.5050507
   3.9800000   -.5025128   -.5025128
   4.0000000   -.5000002   -.5000002
   4.0200000   -.4975127   -.4975127
   4.0400000   -.4950497   -.4950497
   4.0600000   -.4926111   -.4926111
   4.0800000   -.4901963   -.4901963
   4.1000000   -.4878051   -.4878051
   4.1200000   -.4854371   -.4854371
   4.1400000   -.4830920   -.4830920
   4.1600000   -.4807695   -.4807695
   4.1800000   -.4784691   -.4784691
   4.2000000   -.4761907   -.4761907
   4.2200000   -.4739339   -.4739339
   4.2400000   -.4716983   -.4716983
   4.2600000   -.4694838   -.4694838
   4.2800000   -.4672900   -.4672900
   4.3000000   -.4651165   -.4651165
   4.3200000   -.4629632   -.4629632
   4.3400000   -.4608297   -.4608297
   4.3600000   -.4587158   -.4587158
   4.3800000   -.4566212   -.4566212
   4.4000000   -.4545457   -.4545457
   4.4200000   -.4524889   -.4524889
   4.4400000   -.4504507   -.4504507
   4.4600000   -.4484307   -.4484307
   4.4800000   -.4464288   -.4464288
   4.5000000   -.4444447   -.4444447
   4.5200000   -.4424781   -.4424781
   4.5400000   -.4405289   -.4405289
   4.5600000   -.4385967   -.4385967
   4.5800000   -.4366814   -.4366814
   4.6000000   -.4347828   -.4347828
   4.6200000   -.4329007   -.4329007
   4.6400000   -.4310347   -.4310347
   4.6600000   -.4291848   -.4291848
   4.6800000   -.4273506   -.4273506
   4.7000000   -.4255321   -.4255321
   4.7200000   -.4237290   -.4237290
   4.7400000   -.4219411   -.4219411
   4.7600000   -.4201683   -.4201683
   4.7800000   -.4184102   -.4184102
   4.8000000   -.4166669   -.4166669
   4.8200000   -.4149380   -.4149380
   4.8400000   -.4132234   -.4132234
   4.8600000   -.4115228   -.4115228
   4.8800000   -.4098363   -.4098363
   4.9000000   -.4081635   -.4081635
   4.9200000   -.4065043   -.4065043
   4.9400000   -.4048585   -.4048585
   4.9600000   -.4032260   -.4032260
   4.9800000   -.4016066   -.4016066
   5.0000000   -.4000002   -.4000002
   5.0200000   -.3984066   -.3984066
   5.0400000   -.3968256   -.3968256
   5.0600000   -.3952571   -.3952571
   5.0800000   -.3937010   -.3937010
   5.1000000   -.3921571   -.3921571
   5.1200000   -.3906252   -.3906252
   5.1400000   -.3891052   -.3891052
   5.1600000   -.3875971   -.3875971
   5.1800000   -.3861006   -.3861006
   5.2000000   -.3846156   -.3846156
   5.2200000   -.3831419   -.3831419
   5.2400000   -.3816796   -.3816796
   5.2600000   -.3802283   -.3802283
   5.2800000   -.3787881   -.3787881
   5.3000000   -.3773587   -.3773587
   5.3200000   -.3759400   -.3759400
   5.3400000   -.3745320   -.3745320
   5.3600000   -.3731345   -.3731345
   5.3800000   -.3717474   -.3717474
   5.4000000   -.3703705   -.3703705
   5.4200000   -.3690039   -.3690039
   5.4400000   -.3676472   -.3676472
   5.4600000   -.3663005   -.3663005
   5.4800000   -.3649637   -.3649637
   5.5000000   -.3636365   -.3636365
   5.5200000   -.3623190   -.3623190
   5.5400000   -.3610110   -.3610110
   5.5600000   -.3597124   -.3597124
   5.5800000   -.3584231   -.3584231
   5.6000000   -.3571430   -.3571430
   5.6200000   -.3558720   -.3558720
   5.6400000   -.3546101   -.3546101
   5.6600000   -.3533570   -.3533570
   5.6800000   -.3521128   -.3521128
   5.7000000   -.3508773   -.3508773
   5.7200000   -.3496505   -.3496505
   5.7400000   -.3484322   -.3484322
   5.7600000   -.3472224   -.3472224
   5.7800000   -.3460209   -.3460209
   5.8000000   -.3448277   -.3448277
   5.8200000   -.3436428   -.3436428
   5.8400000   -.3424659   -.3424659
   5.8600000   -.3412971   -.3412971
   5.8800000   -.3401362   -.3401362
   5.9000000   -.3389832   -.3389832
   5.9200000   -.3378380   -.3378380
   5.9400000   -.3367005   -.3367005
   5.9600000   -.3355706   -.3355706
   5.9800000   -.3344483   -.3344483
   6.0000000   -.3333335   -.3333335
   6.0200000   -.3322261   -.3322261
   6.0400000   -.3311260   -.3311260
   6.0600000   -.3300331   -.3300331
   6.0800000   -.3289475   -.3289475
   6.1000000   -.3278690   -.3278690
   6.1200000   -.3267975   -.3267975
   6.1400000   -.3257330   -.3257330
   6.1600000   -.3246755   -.3246755
   6.1800000   -.3236247   -.3236247
   6.2000000   -.3225808   -.3225808
   6.2200000   -.3215435   -.3215435
   6.2400000   -.3205129   -.3205129
   6.2600000   -.3194889   -.3194889
   6.2800000   -.3184715   -.3184715
   6.3000000   -.3174604   -.3174604
   6.3200000   -.3164558   -.3164558
   6.3400000   -.3154575   -.3154575
   6.3600000   -.3144655   -.3144655
   6.3800000   -.3134797   -.3134797
   6.4000000   -.3125001   -.3125001
   6.4200000   -.3115266   -.3115266
   6.4400000   -.3105591   -.3105591
   6.4600000   -.3095976   -.3095976
   6.4800000   -.3086421   -.3086421
   6.5000000   -.3076924   -.3076924
   6.5200000   -.3067486   -.3067486
   6.5400000   -.3058105   -.3058105
   6.5600000   -.3048781   -.3048781
   6.5800000   -.3039515   -.3039515
   6.6000000   -.3030304   -.3030304
   6.6200000   -.3021149   -.3021149
   6.6400000   -.3012049   -.3012049
   6.6600000   -.3003004   -.3003004
   6.6800000   -.2994013   -.2994013
   6.7000000   -.2985076   -.2985076
   6.7200000   -.2976191   -.2976191
   6.7400000   -.2967360   -.2967360
   6.7600000   -.2958581   -.2958581
   6.7800000   -.2949853   -.2949853
   6.8000000   -.2941177   -.2941177
   6.8200000   -.2932552   -.2932552
   6.8400000   -.2923978   -.2923978
   6.8600000   -.2915453   -.2915453
   6.8800000   -.2906978   -.2906978
   6.9000000   -.2898552   -.2898552
   6.9200000   -.2890174   -.2890174
   6.9400000   -.2881845   -.2881845
   6.9600000   -.2873564   -.2873564
   6.9800000   -.2865330   -.2865330
   7.0000000   -.2857144   -.2857144
   7.0200000   -.2849004   -.2849004
   7.0400000   -.2840910   -.2840910
   7.0600000   -.2832862   -.2832862
   7.0800000   -.2824860   -.2824860
   7.1000000   -.2816902   -.2816902
   7.1200000   -.2808990   -.2808990
   7.1400000   -.2801121   -.2801121
   7.1600000   -.2793297   -.2793297
   7.1800000   -.2785516   -.2785516
   7.2000000   -.2777779   -.2777779
   7.2200000   -.2770084   -.2770084
   7.2400000   -.2762432   -.2762432
   7.2600000   -.2754822   -.2754822
   7.2800000   -.2747253   -.2747253
   7.3000000   -.2739727   -.2739727
   7.3200000   -.2732241   -.2732241
   7.3400000   -.2724796   -.2724796
   7.3600000   -.2717392   -.2717392
   7.3800000   -.2710028   -.2710028
   7.4000000   -.2702703   -.2702703
   7.4200000   -.2695418   -.2695418
   7.4400000   -.2688173   -.2688173
   7.4600000   -.2680966   -.2680966
   7.4800000   -.2673797   -.2673797
   7.5000000   -.2666667   -.2666667
   7.5200000   -.2659575   -.2659575
   7.5400000   -.2652521   -.2652521
   7.5600000   -.2645503   -.2645503
   7.5800000   -.2638523   -.2638523
   7.6000000   -.2631580   -.2631580
   7.6200000   -.2624672   -.2624672
   7.6400000   -.2617802   -.2617802
   7.6600000   -.2610967   -.2610967
   7.6800000   -.2604167   -.2604167
   7.7000000   -.2597403   -.2597403
   7.7200000   -.2590674   -.2590674
   7.7400000   -.2583980   -.2583980
   7.7600000   -.2577320   -.2577320
   7.7800000   -.2570695   -.2570695
   7.8000000   -.2564103   -.2564103
   7.8200000   -.2557545   -.2557545
   7.8400000   -.2551021   -.2551021
   7.8600000   -.2544530   -.2544530
   7.8800000   -.2538072   -.2538072
   7.9000000   -.2531646   -.2531646
   7.9200000   -.2525253   -.2525253
   7.9400000   -.2518892   -.2518892
   7.9600000   -.2512563   -.2512563
   7.9800000   -.2506266   -.2506266
   8.0000000   -.2500000   -.2500000
   8.0200000   -.2493766   -.2493766
   8.0400000   -.2487563   -.2487563
   8.0600000   -.2481390   -.2481390
   8.0800000   -.2475248   -.2475248
   8.1000000   -.2469136   -.2469136
   8.1200000   -.2463055   -.2463055
   8.1400000   -.2457003   -.2457003
   8.1600000   -.2450981   -.2450981
   8.1800000   -.2444988   -.2444988
   8.2000000   -.2439025   -.2439025
   8.2200000   -.2433090   -.2433090
   8.2400000   -.2427185   -.2427185
   8.2600000   -.2421308   -.2421308
   8.2800000   -.2415459   -.2415459
   8.3000000   -.2409639   -.2409639
   8.3200000   -.2403847   -.2403847
   8.3400000   -.2398082   -.2398082
   8.3600000   -.2392345   -.2392345
   8.3800000   -.2386635   -.2386635
   8.4000000   -.2380953   -.2380953
   8.4200000   -.2375297   -.2375297
   8.4400000   -.2369669   -.2369669
   8.4600000   -.2364067   -.2364067
   8.4800000   -.2358491   -.2358491
   8.5000000   -.2352942   -.2352942
   8.5200000   -.2347418   -.2347418
   8.5400000   -.2341921   -.2341921
   8.5600000   -.2336449   -.2336449
   8.5800000   -.2331003   -.2331003
   8.6000000   -.2325582   -.2325582
   8.6200000   -.2320186   -.2320186
   8.6400000   -.2314815   -.2314815
   8.6600000   -.2309469   -.2309469
   8.6800000   -.2304148   -.2304148
   8.7000000   -.2298851   -.2298851
   8.7200000   -.2293578   -.2293578
   8.7400000   -.2288330   -.2288330
   8.7600000   -.2283105   -.2283105
   8.7800000   -.2277905   -.2277905
   8.8000000   -.2272728   -.2272728
   8.8200000   -.2267574   -.2267574
   8.8400000   -.2262444   -.2262444
   8.8600000   -.2257337   -.2257337
   8.8800000   -.2252253   -.2252253
   8.9000000   -.2247191   -.2247191
   8.9200000   -.2242153   -.2242153
   8.9400000   -.2237137   -.2237137
   8.9600000   -.2232143   -.2232143
   8.9800000   -.2227172   -.2227172
   9.0000000   -.2222222   -.2222222
   9.0200000   -.2217295   -.2217295
   9.0400000   -.2212390   -.2212390
   9.0600000   -.2207506   -.2207506
   9.0800000   -.2202643   -.2202643
   9.1000000   -.2197802   -.2197802
   9.1200000   -.2192983   -.2192983
   9.1400000   -.2188184   -.2188184
   9.1600000   -.2183406   -.2183406
   9.1800000   -.2178649   -.2178649
   9.2000000   -.2173913   -.2173913
   9.2200000   -.2169198   -.2169198
   9.2400000   -.2164502   -.2164502
   9.2600000   -.2159827   -.2159827
   9.2800000   -.2155173   -.2155173
   9.3000000   -.2150538   -.2150538
   9.3200000   -.2145923   -.2145923
   9.3400000   -.2141328   -.2141328
   9.3600000   -.2136752   -.2136752
   9.3800000   -.2132196   -.2132196
   9.4000000   -.2127660   -.2127660
   9.4200000   -.2123142   -.2123142
   9.4400000   -.2118644   -.2118644
   9.4600000   -.2114165   -.2114165
   9.4800000   -.2109705   -.2109705
   9.5000000   -.2105263   -.2105263
   9.5200000   -.2100841   -.2100841
   9.5400000   -.2096436   -.2096436
   9.5600000   -.2092050   -.2092050
   9.5800000   -.2087683   -.2087683
   9.6000000   -.2083334   -.2083334
   9.6200000   -.2079002   -.2079002
   9.6400000   -.2074689   -.2074689
   9.6600000   -.2070394   -.2070394
   9.6800000   -.2066116   -.2066116
   9.7000000   -.2061856   -.2061856
   9.7200000   -.2057613   -.2057613
   9.7400000   -.2053388   -.2053388
   9.7600000   -.2049180   -.2049180
   9.7800000   -.2044990   -.2044990
   9.8000000   -.2040816   -.2040816
   9.8200000   -.2036660   -.2036660
   9.8400000   -.2032520   -.2032520
   9.8600000   -.2028398   -.2028398
   9.8800000   -.2024292   -.2024292
   9.9000000   -.2020202   -.2020202
   9.9200000   -.2016129   -.2016129
   9.9400000   -.2012073   -.2012073
   9.9600000   -.2008032   -.2008032
   9.9800000   -.2004008   -.2004008
  10.0000000   -.2000000   -.2000000
    .0031250    .0119579    .0000000
    .0200000    .0764276    .0000000
    .0400000    .1521784    .0000000
    .0600000    .2265333    .0000001
    .0800000    .2987179    .0000002
    .1000000    .3679053    .0000003
    .1200000    .4332462    .0000004
    .1400000    .4939312    .0000006
    .1600000    .5492819    .0000007
    .1800000    .5988568    .0000009
    .2000000    .6425423    .0000011
    .2200000    .6805937    .0000014
    .2400000    .7135953    .0000016
    .2600000    .7423365    .0000018
    .2800000    .7676383    .0000021
    .3000000    .7901900    .0000024
    .3200000    .8104575    .0000026
    .3400000    .8286844    .0000029
    .3600000    .8449649    .0000033
    .3800000    .8593334    .0000036
    .4000000    .8718304    .0000039
    .4200000    .8825264    .0000043
    .4400000    .8915185    .0000046
    .4600000    .8989167    .0000050
    .4800000    .9048327    .0000054
    .5000000    .9093738    .0000057
    .5200000    .9126411    .0000061
    .5400000    .9147294    .0000066
    .5600000    .9157267    .0000070
    .5800000    .9157155    .0000074
    .6000000    .9147727    .0000078
    .6200000    .9129699    .0000083
    .6400000    .9103739    .0000088
    .6600000    .9070473    .0000092
    .6800000    .9030483    .0000097
    .7000000    .8984312    .0000102
    .7200000    .8932467    .0000107
    .7400000    .8875422    .0000112
    .7600000    .8813618    .0000117
    .7800000    .8747467    .0000122
    .8000000    .8677355    .0000128
    .8200000    .8603640    .0000133
    .8400000    .8526658    .0000139
    .8600000    .8446720    .0000145
    .8800000    .8364119    .0000151
    .9000000    .8279128    .0000157
    .9200000    .8192001    .0000163
    .9400000    .8102974    .0000169
    .9600000    .8012269    .0000175
    .9800000    .7920093    .0000182
   1.0000000    .7826638    .0000188
   1.0200000    .7732082    .0000195
   1.0400000    .7636595    .0000202
   1.0600000    .7540332    .0000209
   1.0800000    .7443437    .0000216
   1.1000000    .7346047    .0000223
   1.1200000    .7248288    .0000230
   1.1400000    .7150277    .0000238
   1.1600000    .7052122    .0000245
   1.1800000    .6953926    .0000253
   1.2000000    .6855783    .0000261
   1.2200000    .6757780    .0000269
   1.2400000    .6659999    .0000277
   1.2600000    .6562514    .0000286
   1.2800000    .6465397    .0000294
   1.3000000    .6368710    .0000303
   1.3200000    .6272515    .0000312
   1.3400000    .6176866    .0000321
   1.3600000    .6081814    .0000330
   1.3800000    .5987405    .0000339
   1.4000000    .5893683    .0000349
   1.4200000    .5800688    .0000359
   1.4400000    .5708455    .0000368
   1.4600000    .5617017    .0000379
   1.4800000    .5526404    .0000389
   1.5000000    .5436644    .0000399
