Li
   1.      7.00     1     0
  1.842189  1.842189
   251    .050
    .0020833   -.0193615   -.7719225
    .0500000   -.0176433   -.7735212
    .1000000   -.0150015   -.7768184
    .1500000   -.0122001   -.7814773
    .2000000   -.0095009   -.7873413
    .2500000   -.0070389   -.7942730
    .3000000   -.0049024   -.8021435
    .3500000   -.0031645   -.8108300
    .4000000   -.0018958   -.8202130
    .4500000   -.0011696   -.8301736
    .5000000   -.0010617   -.8405889
    .5500000   -.0016494   -.8513294
    .6000000   -.0030091   -.8622555
    .6500000   -.0052149   -.8732159
    .7000000   -.0083360   -.8840464
    .7500000   -.0124355   -.8945696
    .8000000   -.0175691   -.9045954
    .8500000   -.0237843   -.9139227
    .9000000   -.0311191   -.9223417
    .9500000   -.0396022   -.9296364
   1.0000000   -.0492518   -.9355890
   1.0500000   -.0600760   -.9399841
   1.1000000   -.0720718   -.9426133
   1.1500000   -.0852255   -.9432813
   1.2000000   -.0995116   -.9418111
   1.2500000   -.1148924   -.9380500
   1.3000000   -.1313162   -.9318749
   1.3500000   -.1487158   -.9231970
   1.4000000   -.1670052   -.9119660
   1.4500000   -.1860765   -.8981723
   1.5000000   -.2057965   -.8818483
   1.5500000   -.2260035   -.8630692
   1.6000000   -.2465062   -.8419524
   1.6500000   -.2670846   -.8186576
   1.7000000   -.2874933   -.7933860
   1.7500000   -.3074686   -.7663799
   1.8000000   -.3267372   -.7379217
   1.8500000   -.3450258   -.7083314
   1.9000000   -.3620726   -.6779625
   1.9500000   -.3776368   -.6471951
   2.0000000   -.3915082   -.6164266
   2.0500000   -.4035147   -.5860603
   2.1000000   -.4135284   -.5564915
   2.1500000   -.4214690   -.5280938
   2.2000000   -.4273062   -.5012038
   2.2500000   -.4310595   -.4761084
   2.3000000   -.4327959   -.4530332
   2.3500000   -.4326262   -.4321342
   2.4000000   -.4306995   -.4134936
   2.4500000   -.4271967   -.3971194
   2.5000000   -.4223221   -.3829485
   2.5500000   -.4162953   -.3708552
   2.6000000   -.4093423   -.3606621
   2.6500000   -.4016873   -.3521530
   2.7000000   -.3935452   -.3450868
   2.7500000   -.3851144   -.3392119
   2.8000000   -.3765716   -.3342806
   2.8500000   -.3680685   -.3300591
   2.9000000   -.3597296   -.3263369
   2.9500000   -.3516507   -.3229345
   3.0000000   -.3439009   -.3197052
   3.0500000   -.3365250   -.3165351
   3.1000000   -.3295450   -.3133444
   3.1500000   -.3229649   -.3100818
   3.2000000   -.3167754   -.3067196
   3.2500000   -.3109553   -.3032515
   3.3000000   -.3054776   -.2996844
   3.3500000   -.3003114   -.2960352
   3.4000000   -.2954245   -.2923267
   3.4500000   -.2907857   -.2885833
   3.5000000   -.2863657   -.2848295
   3.5500000   -.2821386   -.2810872
   3.6000000   -.2780814   -.2773759
   3.6500000   -.2741750   -.2737106
   3.7000000   -.2704032   -.2701037
   3.7500000   -.2667530   -.2665635
   3.8000000   -.2632133   -.2630960
   3.8500000   -.2597756   -.2597044
   3.9000000   -.2564328   -.2563905
   3.9500000   -.2531790   -.2531544
   4.0000000   -.2500094   -.2499954
   4.0500000   -.2469198   -.2469120
   4.1000000   -.2439067   -.2439025
   4.1500000   -.2409669   -.2409646
   4.2000000   -.2380975   -.2380963
   4.2500000   -.2352958   -.2352952
   4.3000000   -.2325595   -.2325592
   4.3500000   -.2298862   -.2298860
   4.4000000   -.2272736   -.2272736
   4.4500000   -.2247198   -.2247198
   4.5000000   -.2222228   -.2222228
   4.5500000   -.2197807   -.2197807
   4.6000000   -.2173917   -.2173917
   4.6500000   -.2150541   -.2150541
   4.7000000   -.2127663   -.2127663
   4.7500000   -.2105266   -.2105266
   4.8000000   -.2083335   -.2083335
   4.8500000   -.2061857   -.2061857
   4.9000000   -.2040818   -.2040818
   4.9500000   -.2020203   -.2020203
   5.0000000   -.2000001   -.2000001
   5.0500000   -.1980199   -.1980199
   5.1000000   -.1960785   -.1960785
   5.1500000   -.1941748   -.1941748
   5.2000000   -.1923077   -.1923077
   5.2500000   -.1904762   -.1904762
   5.3000000   -.1886793   -.1886793
   5.3500000   -.1869159   -.1869159
   5.4000000   -.1851852   -.1851852
   5.4500000   -.1834863   -.1834863
   5.5000000   -.1818182   -.1818182
   5.5500000   -.1801802   -.1801802
   5.6000000   -.1785714   -.1785714
   5.6500000   -.1769912   -.1769912
   5.7000000   -.1754386   -.1754386
   5.7500000   -.1739130   -.1739130
   5.8000000   -.1724138   -.1724138
   5.8500000   -.1709402   -.1709402
   5.9000000   -.1694915   -.1694915
   5.9500000   -.1680672   -.1680672
   6.0000000   -.1666667   -.1666667
   6.0500000   -.1652893   -.1652893
   6.1000000   -.1639344   -.1639344
   6.1500000   -.1626016   -.1626016
   6.2000000   -.1612903   -.1612903
   6.2500000   -.1600000   -.1600000
   6.3000000   -.1587302   -.1587302
   6.3500000   -.1574803   -.1574803
   6.4000000   -.1562500   -.1562500
   6.4500000   -.1550388   -.1550388
   6.5000000   -.1538461   -.1538461
   6.5500000   -.1526718   -.1526718
   6.6000000   -.1515151   -.1515151
   6.6500000   -.1503759   -.1503759
   6.7000000   -.1492537   -.1492537
   6.7500000   -.1481481   -.1481481
   6.8000000   -.1470588   -.1470588
   6.8500000   -.1459854   -.1459854
   6.9000000   -.1449275   -.1449275
   6.9500000   -.1438849   -.1438849
   7.0000000   -.1428571   -.1428571
   7.0500000   -.1418440   -.1418440
   7.1000000   -.1408451   -.1408451
   7.1500000   -.1398601   -.1398601
   7.2000000   -.1388889   -.1388889
   7.2500000   -.1379310   -.1379310
   7.3000000   -.1369863   -.1369863
   7.3500000   -.1360544   -.1360544
   7.4000000   -.1351351   -.1351351
   7.4500000   -.1342282   -.1342282
   7.5000000   -.1333333   -.1333333
   7.5500000   -.1324503   -.1324503
   7.6000000   -.1315789   -.1315789
   7.6500000   -.1307190   -.1307190
   7.7000000   -.1298701   -.1298701
   7.7500000   -.1290323   -.1290323
   7.8000000   -.1282051   -.1282051
   7.8500000   -.1273885   -.1273885
   7.9000000   -.1265823   -.1265823
   7.9500000   -.1257862   -.1257862
   8.0000000   -.1250000   -.1250000
   8.0500000   -.1242236   -.1242236
   8.1000000   -.1234568   -.1234568
   8.1500000   -.1226994   -.1226994
   8.2000000   -.1219512   -.1219512
   8.2500000   -.1212121   -.1212121
   8.3000000   -.1204819   -.1204819
   8.3500000   -.1197605   -.1197605
   8.4000000   -.1190476   -.1190476
   8.4500000   -.1183432   -.1183432
   8.5000000   -.1176471   -.1176471
   8.5500000   -.1169591   -.1169591
   8.6000000   -.1162791   -.1162791
   8.6500000   -.1156069   -.1156069
   8.7000000   -.1149425   -.1149425
   8.7500000   -.1142857   -.1142857
   8.8000000   -.1136364   -.1136364
   8.8500000   -.1129944   -.1129944
   8.9000000   -.1123596   -.1123596
   8.9500000   -.1117318   -.1117318
   9.0000000   -.1111111   -.1111111
   9.0500000   -.1104972   -.1104972
   9.1000000   -.1098901   -.1098901
   9.1500000   -.1092896   -.1092896
   9.2000000   -.1086957   -.1086957
   9.2500000   -.1081081   -.1081081
   9.3000000   -.1075269   -.1075269
   9.3500000   -.1069519   -.1069519
   9.4000000   -.1063830   -.1063830
   9.4500000   -.1058201   -.1058201
   9.5000000   -.1052632   -.1052632
   9.5500000   -.1047120   -.1047120
   9.6000000   -.1041667   -.1041667
   9.6500000   -.1036270   -.1036270
   9.7000000   -.1030928   -.1030928
   9.7500000   -.1025641   -.1025641
   9.8000000   -.1020408   -.1020408
   9.8500000   -.1015228   -.1015228
   9.9000000   -.1010101   -.1010101
   9.9500000   -.1005025   -.1005025
  10.0000000   -.1000000   -.1000000
  10.0500000   -.0995025   -.0995025
  10.1000000   -.0990099   -.0990099
  10.1500000   -.0985222   -.0985222
  10.2000000   -.0980392   -.0980392
  10.2500000   -.0975610   -.0975610
  10.3000000   -.0970874   -.0970874
  10.3500000   -.0966184   -.0966184
  10.4000000   -.0961539   -.0961539
  10.4500000   -.0956938   -.0956938
  10.5000000   -.0952381   -.0952381
  10.5500000   -.0947867   -.0947867
  10.6000000   -.0943396   -.0943396
  10.6500000   -.0938967   -.0938967
  10.7000000   -.0934580   -.0934580
  10.7500000   -.0930233   -.0930233
  10.8000000   -.0925926   -.0925926
  10.8500000   -.0921659   -.0921659
  10.9000000   -.0917431   -.0917431
  10.9500000   -.0913242   -.0913242
  11.0000000   -.0909091   -.0909091
  11.0500000   -.0904977   -.0904977
  11.1000000   -.0900901   -.0900901
  11.1500000   -.0896861   -.0896861
  11.2000000   -.0892857   -.0892857
  11.2500000   -.0888889   -.0888889
  11.3000000   -.0884956   -.0884956
  11.3500000   -.0881057   -.0881057
  11.4000000   -.0877193   -.0877193
  11.4500000   -.0873363   -.0873363
  11.5000000   -.0869565   -.0869565
  11.5500000   -.0865801   -.0865801
  11.6000000   -.0862069   -.0862069
  11.6500000   -.0858369   -.0858369
  11.7000000   -.0854701   -.0854701
  11.7500000   -.0851064   -.0851064
  11.8000000   -.0847458   -.0847458
  11.8500000   -.0843882   -.0843882
  11.9000000   -.0840336   -.0840336
  11.9500000   -.0836820   -.0836820
  12.0000000   -.0833333   -.0833333
  12.0500000   -.0829876   -.0829876
  12.1000000   -.0826446   -.0826446
  12.1500000   -.0823045   -.0823045
  12.2000000   -.0819672   -.0819672
  12.2500000   -.0816327   -.0816327
  12.3000000   -.0813008   -.0813008
  12.3500000   -.0809717   -.0809717
  12.4000000   -.0806452   -.0806452
  12.4500000   -.0803213   -.0803213
  12.5000000   -.0800000   -.0800000
    .0020833    .0003458    .0000000
    .0500000    .0083005    .0000179
    .1000000    .0166111    .0000716
    .1500000    .0249419    .0001609
    .2000000    .0333034    .0002855
    .2500000    .0417062    .0004450
    .3000000    .0501614    .0006390
    .3500000    .0586798    .0008667
    .4000000    .0672727    .0011273
    .4500000    .0759512    .0014200
    .5000000    .0847264    .0017437
    .5500000    .0936092    .0020971
    .6000000    .1026104    .0024789
    .6500000    .1117402    .0028876
    .7000000    .1210084    .0033214
    .7500000    .1304241    .0037787
    .8000000    .1399953    .0042574
    .8500000    .1497292    .0047554
    .9000000    .1596317    .0052705
    .9500000    .1697071    .0058004
   1.0000000    .1799582    .0063426
   1.0500000    .1903857    .0068946
   1.1000000    .2009884    .0074539
   1.1500000    .2117625    .0080179
   1.2000000    .2227019    .0085841
   1.2500000    .2337975    .0091500
   1.3000000    .2450376    .0097132
   1.3500000    .2564070    .0102714
   1.4000000    .2678875    .0108225
   1.4500000    .2794576    .0113645
   1.5000000    .2910923    .0118957
   1.5500000    .3027634    .0124147
   1.6000000    .3144393    .0129202
   1.6500000    .3260856    .0134113
   1.7000000    .3376653    .0138874
   1.7500000    .3491388    .0143480
   1.8000000    .3604653    .0147931
   1.8500000    .3716026    .0152228
   1.9000000    .3825083    .0156377
   1.9500000    .3931403    .0160384
   2.0000000    .4034580    .0164257
   2.0500000    .4134226    .0168007
   2.1000000    .4229980    .0171645
   2.1500000    .4321516    .0175184
   2.2000000    .4408547    .0178636
   2.2500000    .4490832    .0182015
   2.3000000    .4568175    .0185331
   2.3500000    .4640431    .0188598
   2.4000000    .4707503    .0191824
   2.4500000    .4769341    .0195020
   2.5000000    .4825945    .0198194
   2.5500000    .4877350    .0201351
   2.6000000    .4923635    .0204497
   2.6500000    .4964905    .0207636
   2.7000000    .5001296    .0210770
   2.7500000    .5032961    .0213901
   2.8000000    .5060072    .0217028
   2.8500000    .5082808    .0220152
   2.9000000    .5101355    .0223271
   2.9500000    .5115901    .0226386
   3.0000000    .5126631    .0229494
   3.0500000    .5133728    .0232595
   3.1000000    .5137367    .0235688
   3.1500000    .5137717    .0238772
   3.2000000    .5134940    .0241846
   3.2500000    .5129189    .0244910
   3.3000000    .5120609    .0247964
   3.3500000    .5109339    .0251010
   3.4000000    .5095509    .0254046
   3.4500000    .5079246    .0257076
   3.5000000    .5060668    .0260099
   3.5500000    .5039890    .0263117
   3.6000000    .5017021    .0266132
   3.6500000    .4992166    .0269145
   3.7000000    .4965428    .0272158
   3.7500000    .4936905    .0275173
   3.8000000    .4906691    .0278193
   3.8500000    .4874879    .0281218
   3.9000000    .4841557    .0284250
   3.9500000    .4806812    .0287293
   4.0000000    .4770728    .0290348
   4.0500000    .4733384    .0293417
   4.1000000    .4694861    .0296503
   4.1500000    .4655232    .0299606
   4.2000000    .4614572    .0302731
   4.2500000    .4572951    .0305878
   4.3000000    .4530438    .0309050
   4.3500000    .4487099    .0312250
   4.4000000    .4442998    .0315479
   4.4500000    .4398197    .0318739
   4.5000000    .4352754    .0322034
   4.5500000    .4306728    .0325365
   4.6000000    .4260173    .0328735
   4.6500000    .4213142    .0332146
   4.7000000    .4165686    .0335600
   4.7500000    .4117856    .0339100
   4.8000000    .4069697    .0342648
   4.8500000    .4021255    .0346246
   4.9000000    .3972574    .0349898
   4.9500000    .3923695    .0353605
   5.0000000    .3874658    .0357370
   5.0500000    .3825502    .0361195
   5.1000000    .3776263    .0365083
   5.1500000    .3726977    .0369038
   5.2000000    .3677677    .0373060
   5.2500000    .3628394    .0377153
   5.3000000    .3579161    .0381319
   5.3500000    .3530005    .0385562
   5.4000000    .3480954    .0389884
   5.4500000    .3432036    .0394287
   5.5000000    .3383274    .0398775
   5.5500000    .3334694    .0403350
   5.6000000    .3286318    .0408015
   5.6500000    .3238166    .0412773
   5.7000000    .3190261    .0417627
   5.7500000    .3142620    .0422580
   5.8000000    .3095262    .0427635
   5.8500000    .3048205    .0432795
   5.9000000    .3001465    .0438064
   5.9500000    .2955056    .0443444
   6.0000000    .2908993    .0448938
   6.0500000    .2863290    .0454550
   6.1000000    .2817958    .0460283
   6.1500000    .2773011    .0466141
   6.2000000    .2728458    .0472127
   6.2500000    .2684310    .0478244
   6.3000000    .2640576    .0484497
   6.3500000    .2597265    .0490888
   6.4000000    .2554385    .0497421
   6.4500000    .2511944    .0504101
   6.5000000    .2469947    .0510930
   6.5500000    .2428400    .0517913
   6.6000000    .2387311    .0525054
   6.6500000    .2346682    .0532356
   6.7000000    .2306520    .0539825
   6.7500000    .2266827    .0547463
   6.8000000    .2227606    .0555276
   6.8500000    .2188862    .0563267
   6.9000000    .2150596    .0571442
   6.9500000    .2112810    .0579804
   7.0000000    .2075505    .0588358
   7.0500000    .2038683    .0597109
   7.1000000    .2002346    .0606062
   7.1500000    .1966492    .0615222
   7.2000000    .1931122    .0624593
   7.2500000    .1896236    .0634181
   7.3000000    .1861834    .0643991
   7.3500000    .1827914    .0654029
   7.4000000    .1794475    .0664299
   7.4500000    .1761516    .0674807
   7.5000000    .1729035    .0685560
   7.5500000    .1697030    .0696562
   7.6000000    .1665499    .0707820
   7.6500000    .1634441    .0719340
   7.7000000    .1603851    .0731127
   7.7500000    .1573727    .0743189
   7.8000000    .1544067    .0755532
   7.8500000    .1514867    .0768161
   7.9000000    .1486124    .0781085
   7.9500000    .1457835    .0794310
   8.0000000    .1429995    .0807843
   8.0500000    .1402602    .0821691
   8.1000000    .1375651    .0835862
   8.1500000    .1349139    .0850363
   8.2000000    .1323061    .0865202
   8.2500000    .1297413    .0880386
   8.3000000    .1272191    .0895925
   8.3500000    .1247391    .0911825
   8.4000000    .1223008    .0928096
   8.4500000    .1199038    .0944746
   8.5000000    .1175477    .0961783
   8.5500000    .1152319    .0979218
   8.6000000    .1129560    .0997059
   8.6500000    .1107196    .1015315
   8.7000000    .1085221    .1033997
   8.7500000    .1063632    .1053114
   8.8000000    .1042422    .1072676
   8.8500000    .1021588    .1092694
   8.9000000    .1001125    .1113178
   8.9500000    .0981027    .1134139
   9.0000000    .0961291    .1155588
   9.0500000    .0941910    .1177537
   9.1000000    .0922881    .1199996
   9.1500000    .0904198    .1222979
   9.2000000    .0885856    .1246497
   9.2500000    .0867852    .1270561
   9.3000000    .0850179    .1295186
   9.3500000    .0832833    .1320385
   9.4000000    .0815810    .1346170
   9.4500000    .0799104    .1372555
   9.5000000    .0782711    .1399554
   9.5500000    .0766626    .1427182
   9.6000000    .0750844    .1455453
   9.6500000    .0735361    .1484382
   9.7000000    .0720172    .1513983
   9.7500000    .0705272    .1544274
   9.8000000    .0690658    .1575270
   9.8500000    .0676323    .1606987
   9.9000000    .0662264    .1639443
   9.9500000    .0648477    .1672653
  10.0000000    .0634956    .1706636
  10.0500000    .0621698    .1741410
  10.1000000    .0608698    .1776994
  10.1500000    .0595952    .1813406
  10.2000000    .0583456    .1850665
  10.2500000    .0571204    .1888791
  10.3000000    .0559194    .1927805
  10.3500000    .0547421    .1967728
  10.4000000    .0535881    .2008579
  10.4500000    .0524570    .2050381
  10.5000000    .0513484    .2093156
  10.5500000    .0502618    .2136927
  10.6000000    .0491970    .2181718
  10.6500000    .0481535    .2227552
  10.7000000    .0471310    .2274452
  10.7500000    .0461290    .2322444
  10.8000000    .0451472    .2371555
  10.8500000    .0441853    .2421809
  10.9000000    .0432428    .2473233
  10.9500000    .0423195    .2525853
  11.0000000    .0414149    .2579697
  11.0500000    .0405287    .2634797
  11.1000000    .0396607    .2691183
  11.1500000    .0388104    .2748885
  11.2000000    .0379775    .2807934
  11.2500000    .0371617    .2868361
  11.3000000    .0363626    .2930196
  11.3500000    .0355801    .2993469
  11.4000000    .0348136    .3058211
  11.4500000    .0340630    .3124452
  11.5000000    .0333280    .3192224
  11.5500000    .0326081    .3261569
  11.6000000    .0319032    .3332538
  11.6500000    .0312130    .3405182
  11.7000000    .0305372    .3479550
  11.7500000    .0298755    .3555693
  11.8000000    .0292277    .3633653
  11.8500000    .0285935    .3713439
  11.9000000    .0279725    .3795050
  11.9500000    .0273645    .3878487
  12.0000000    .0267692    .3963753
  12.0500000    .0261862    .4050847
  12.1000000    .0256154    .4139830
  12.1500000    .0250565    .4230891
  12.2000000    .0245097    .4324237
  12.2500000    .0239746    .4420071
  12.3000000    .0234514    .4518601
  12.3500000    .0229398    .4620028
  12.4000000    .0224396    .4724326
  12.4500000    .0219500    .4831041
  12.5000000    .0214705    .4939671
